,featureID,State,ID,RiverName,RunName,Put In,Take Out,Class,nameNWM,distance
0,23845135.0,AK,3155,Alatna ,through Gates of the Arctic National Park,"['67.8998', '-155.086']","['66.564', '-152.656']",I(II),Alta Creek,37.28082970265685
1,24265453.0,AK,1,Alsek ,Haines Junction to Dry Bay,"['60.746', '-137.506']","['59.1385', '-138.63']",III+(V+),All Creek,20.333685816199807
2,23065251.0,AK,10591,American Creek ,Hammersly Lake to Lake Coville,"['58.8779', '-155.163']","['58.8066', '-155.672']",I-III,Pelican Creek,36.742747707935855
3,23876345.0,AK,2,Aniakchak ,Surprise Lake to Aniakchak Bay,"['56.90599822998', '-158.08090209961']","['56.763401031494', '-157.49339294434']",I-IV,Minich Creek,36.01987661022576
4,23844931.0,AK,4419,Archangel Creek ,Fairangel Creek Confluence to the Little Su Confluence,"['61.817237854004', '-149.24307250977']","['61.781326293945', '-149.18865966797']",V,Crane Creek,28.899831065657683
5,23845419.0,AK,2542,Atigun/Sagavanirktok ,Dalton Hwy Bridge to Slope Mt. Road Camp,"['68.26', '-149.21']","['69.02', '-148.45']",III-IV,Kunamakst Creek,32.435320034818176
6,23074971.0,AK,3249,Bird Creek ,5 miles upstream to Turnagain Arm,"['61.027801513672', '-149.40199279785']","['60.973598480225', '-149.46600341797']",V+,Bird Creek,31.36269543906413
7,23083076.0,AK,3250,Bremner ,to Copper River,"['60.975898742676', '-143.89059448242']","['60.845001220703', '-144.51669311523']",I-III+,Brender Creek,26.938204327789684
8,23851983.0,AK,3,Browns Creek ,Browns Creek Canyon,"['60.954200744629', '-145.91400146484']","['61.046798706055', '-145.93269348144']",III,Browns Creek,26.852029430331392
9,23839578.0,AK,3251,Brushkana Creek ,Denali Hwy to Nenana River,"['63.287998199463', '-148.06370544434']","['63.330001831055', '-148.19630432129']",II+,Brush Creek,28.545978023344002
10,6925013.0,AK,4132,Campbell Creek ,South Fork Gorge (Prospect Heights to Hilltop Ski Area),"['61.1606', '-149.643']","['61.1711', '-149.713']",V,Powellton Fork,1.8568714785135636
11,23839298.0,AK,4,Canyon Creek ,Seward Highwy at outlet of Lower Summit Lake to Seward Hwy a...,"['60.665699005127', '-149.47590637207']","['60.751300811768', '-149.45840454102']",IV,Canyon Creek,28.350827846060053
12,24125205.0,AK,3252,Caribou Creek ,Squaw Creek to Glenn Highway Bridge,"['61.872798919678', '-147.59559631348']","['61.802898406982', '-147.68200683594']",V,Caribou Creek,30.97930509005339
13,23123397.0,AK,3748,Carlson Creek ,Lower Canyon to Tidewater,"['58.319297790527', '-134.21408081055']","['58.306098937988', '-134.1408996582']",II-III(IV),Pacific Creek,0.01652479276723387
14,23886196.0,AK,3253,Chakachatna ,Chakachamna Lake to Cook Inlet,"['61.213401794434', '-152.36889648438']","['60.916900634766', '-151.72039794922']",V+,Yachats River,32.936483418700824
15,23744512.0,AK,3254,Chakina ,Gravel bar to Chitina River,"['61.087299346924', '-143.06950378418']","['61.329399108887', '-143.13529968262']",V,Kiona Creek,24.797178230087546
16,5908529.0,AK,5,Charley ,Upper river gravel bar to Yukon River to Circle,"['64.561996459961', '-143.22290039062']","['65.317222595215', '-142.78056335449']",III,Rockfish Run,0.18408752253479413
17,23123397.0,AK,3255,Cheshnina ,Lower Tonsina to Copper River Bridge,"['61.839500427246', '-144.11959838867']","['61.699718475342', '-144.69694519043']",III+,Pacific Creek,0.01652479276723387
18,23856583.0,AK,6,Chetaslina ,Chichokna River to Copper River,"['61.893600463867', '-144.5066986084']","['61.70832824707', '-144.73110961914']",V+,Chehalis River,25.512095678530265
19,23806128.0,AK,7,Chickaloon ,30 Mile Airstrip to Matanuska,"['62.101612091065', '-148.22122192383']","['61.784503936768', '-148.45271301269']",III,Chicken Creek,30.356191698258673
21,23887038.0,AK,3256,Chistochina ,Chistochina Glacier to Copper River,"['63.194000244141', '-144.82960510254']","['62.587799072266', '-144.59359741211']",I-II,China Creek,28.131025090253267
22,23887038.0,AK,9,Chitina ,Tana River to Copper River,"['61.2145', '-142.835']","['61.4831', '-144.454']",II,China Creek,25.323215354027862
23,23058202.0,AK,10,Chitistone ,Glacier Creek to Nizina River,"['61.458999633789', '-142.40449523926']","['61.41780090332', '-142.59669494629']",II-III,Whitestone Creek,26.14704255149752
24,23887038.0,AK,11,Chulitna ,East Fork to Talkeetna,"['63.141983032227', '-149.43133544922']","['62.321720123291', '-150.12113952637']",II,China Creek,31.642119000185946
25,23839084.0,AK,3257,Coal Creek ,Glacier to Matanuska River,"['61.670600891113', '-148.21719360352']","['61.787498474121', '-148.42640686035']",IV,Coal Creek,27.136952198292896
26,24001517.0,AK,3156,Colville ,Thunder Creek to Harrison Bay,"['68.833602905273', '-160.35000610352']","['70.446098327637', '-150.35800170898']",I-II,Coville Creek,42.165685538844144
27,23123397.0,AK,12,Copper (Iliamna) ,Lower or Upper Copper Lake to Lower Pike Lake or Intricate B...,"['59.578498840332', '-154.15629577637']","['59.526298522949', '-154.51300048828']",III-IV,Pacific Creek,0.01652479276723387
28,23857195.0,AK,2962,Copper ,1. Copper Glacier to Gulkana R.,"['62.1771', '-143.816']","['62.221', '-145.393']",II,Copper Creek,25.046126419759997
29,23857195.0,AK,2501,Copper ,2. Gulkana R. to Chitina R.,"['62.221', '-145.393']","['61.4972', '-144.419']",II,Copper Creek,26.364530747475854
30,23857195.0,AK,2972,Copper ,3. Chitina R. to Gulf of Alaska,"['61.4972', '-144.419']","['60.4448', '-145.052']",II,Copper Creek,25.15241388325582
31,23941293.0,AK,13,Dadina ,Bush strip to Copper River,"['62.050498962402', '-144.42059326172']","['61.816398620605', '-145.06779479981']",III-IV(V+),Deadline Creek,28.050397308151336
32,24287880.0,AK,14,Delta ,1. Denali Hwy at Tangle Lakes to MP 212.5 Richardson Hwy bet...,"['63.051700592041', '-146.0119934082']","['63.34939956665', '-145.75799560547']",I-III,Delta Creek,27.564356314024035
33,24287880.0,AK,3001,Delta ,2. Suzy Q Creek to Donnelly Creek Campground,"['63.497501373291', '-145.8747253418']","['63.689723968506', '-145.89193725586']",II-IV,Delta Creek,27.704166871294287
34,5908529.0,AK,15,Drop Creek ,Upper gravel bar to Copper River,"['62.404598236084', '-143.92520141602']","['62.661399841309', '-144.11689758301']",II,Rockfish Run,0.18408752253479413
35,23997756.0,AK,4152,Eagle (Juneau) ,Lake to Veterans Memorial Highway,"['58.572803497315', '-134.75035095215']","['58.527992248535', '-134.80534362793']",II(III),Eagle Creek,15.80505859639453
36,23865382.0,AK,16,Eagle ,1. Echo Bend to Rapids Camp,"['61.195899963379', '-149.25210571289']","['61.231700897217', '-149.28439331055']",IV,Eagle Creek,29.267734243171745
37,4269066.0,AK,17,Eagle ,2. Upper,"['61.231701', '-149.284393']","['61.306599', '-149.559998']",I,Clarks Fork Yellowstone River,0.0013383930663388279
38,23865382.0,AK,3258,Eagle ,3. Bridge to Bridge,"['61.297413', '-149.534635']","['61.309073', '-149.574601']",II(III),Eagle Creek,29.563601630022518
39,23865382.0,AK,4375,Eagle ,4. Lower: Military Stretch,"['61.310001373291', '-149.58000183106']","['61.318599700928', '-149.61630249023']",II-III,Eagle Creek,29.60929301764564
40,23876379.0,AK,3219,Firth ,Margaret Lake to Beaufort Sea,"['68.575500488281', '-141.29730224609']","['68.647499084473', '-140.99670410156']",III-IV,Fitch Creek,28.967209650080687
41,23846239.0,AK,5405,Fish Creek ,Eaglecrest Road to N. Douglas Hwy.,"['58.316963195801', '-134.5535736084']","['58.330585479736', '-134.59286499023']",II-V(V+),Fisher Creek,14.870737214252662
42,23833113.0,AK,2551,"Fortymile, Middle Fork and North Fork ",Joseph Airstrip to Taylor Hwy Fortymile Bridge,"['64.374725341797', '-143.10922241211']","['64.308776855469', '-141.40696716309']",II(III),Middle Fork North Fork Klaskanine River,26.72342004200519
43,24092154.0,AK,4357,"Fortymile, South Fork ",West Fork of Dennison Fork to Taylor Hwy Fortymile Bridge,"['63.892448425293', '-142.23320007324']","['64.308776855469', '-141.40696716309']",II(III),Fourmile Slough,29.354129741056674
45,23845875.0,AK,3259,Gakona ,Gakona Glacier to Copper River,"['63.159099578857', '-145.2200012207']","['62.29940032959', '-145.31440734863']",III,Gatton Creek,26.54251485253837
47,24423697.0,AK,3173,Glacier (Sheridan River) ,Sheridan Glacier to Copper River Highway,"['60.507999420166', '-145.34359741211']","['60.47790145874', '-145.40020751953']",III,Rainier Fork American River,27.46089079231601
48,23997594.0,AK,3556,Gold Creek ,Basin Road Bridge into Cope Park,"['58.31', '-134.378']","['58.2992', '-134.418']",III-V(V+),Gold Creek,15.3304432617749
49,23970369.0,AK,3260,Granite Creek ,2600-foot level to Glenn Highway,"['61.865798950195', '-148.77020263672']","['61.711498260498', '-148.84730529785']",IV-V+,Granite Creek,30.720101194373182
50,23844775.0,AK,3261,Gravel Creek ,Gravel Creek Glacier to Matanuska River,"['61.648101806641', '-147.97549438477']","['61.77970123291', '-148.00109863281']",IV+,Graves Creek,28.1759861756533
51,23963707.0,AK,20,Gulkana ,1. Summit Lake to Paxson Lake,"['63.11249923706', '-145.49945068359']","['62.880554199219', '-145.52389526367']",III,Sultan River,28.130766930393147
52,23963707.0,AK,2552,Gulkana ,2. Paxson Lake to Sourdough Campground,"['62.916999816895', '-145.5']","['62.524200439453', '-145.52310180664']",II-III,Sultan River,28.026445893284386
53,22990539.0,AK,3262,Happy ,Near Sheep Lake to Skwentna River,"['62.141300201416', '-153.02780151367']","['61.98030090332', '-152.34750366211']",III+,Happy Fork,38.818228480301364
54,23720397.0,AK,3264,Hicks Creek ,Hicks Lake to Matanuska River,"['61.897201538086', '-147.77690124512']","['61.789199829102', '-147.93559265137']",V+,Hicks Creek,31.352007914681877
56,5908529.0,AK,21,Jacksina ,Upper river to Nabesna River,"['62.187801361084', '-143.32890319824']","['62.35359954834', '-142.87579345703']",IV,Rockfish Run,0.18408752253479413
57,23861183.0,AK,3113,Jarvis Creek ,Trail above McCumber Creek to Trail below Ober Creek,"['63.6831', '-145.713']","['63.8438', '-145.686']",IV-V,Davis Creek,27.370172432567912
59,24521796.0,AK,3163,Kennicott ,McCarthy Road to Nizina River,"['61.429401397705', '-142.94299316406']","['61.376575469971', '-143.00108337402']",II+,Endicott Creek,25.246591387583408
60,23846243.0,AK,4577,Kern Creek ,600' Elevation to Turnigan Arm,"['60.918830871582', '-149.04580688477']","['60.90975189209', '-149.08868408203']",V,Kerr Creek,28.1515298451605
61,23744512.0,AK,3265,Kiagna ,Gravel bar to Chitina River,"['60.872501373291', '-142.29710388184']","['61.108329772949', '-142.53332519531']",V+,Kiona Creek,24.797178230087546
62,23890216.0,AK,4406,Kijik ,Lachbuna to Lake Clark,"['60.478771209717', '-154.04441833496']","['60.279624938965', '-154.25657653809']",V,Kirk Creek,34.58371392904232
63,23877027.0,AK,23,Killik ,Lakes in upper river to Umiat or Colville River,"['68.189399719238', '-154.12339782715']","['69.007202148438', '-153.90969848633']",II-III,Killam Creek,37.93202428147798
64,5908529.0,AK,24,Kings ,Upper Kings to Glenn Highway,"['61.960899353027', '-148.66900634766']","['61.732200622559', '-148.74850463867']",V+,Rockfish Run,0.18408752253479413
65,23764875.0,AK,25,Kisaralik ,Kisaralik Lake to confluence with Kuskokwim River,"['60.334400177002', '-159.40420532227']","['60.858100891113', '-161.23750305176']",II-III,Kiser Creek,39.25031538186771
66,23744512.0,AK,26,Klutina ,Klutina Lake to Richardson Highway Bridge at Copper Center,"['61.750598907471', '-145.71479797363']","['61.952098846435', '-145.30459594727']",III,Kiona Creek,28.123828875163802
67,23845419.0,AK,3158,Kongakut ,Mountains to Arctic Ocean,"['69.211700439453', '-141.84350585938']","['69.776397705078', '-141.70440673828']",II-III,Kunamakst Creek,27.861731587168517
68,5908529.0,AK,27,Kotsina ,Upper Kotsina to Copper River (including lower canyon gorge),"['61.728698730469', '-143.7400970459']","['61.540000915527', '-144.40832519531']",V+,Rockfish Run,0.18408752253479413
69,22879895.0,AK,3266,Kuskulana ,1. Nugget Creek to McCarthy Road,"['61.613498687744', '-143.70610046387']","['61.48860168457', '-144.01289367676']",IV+,Ksanka Creek,31.32735391233025
70,22879895.0,AK,28,Kuskulana ,2. McCarthy Rd. Bridge to Chitina River,"['61.4886', '-144.013']","['61.47', '-144.182']",III,Ksanka Creek,31.557984237626
71,23839870.0,AK,3267,Lake Creek ,Chelatna Lake to Yentna River,"['62.435501098633', '-151.40089416504']","['61.905830383301', '-150.90943908691']",III+,Lake Creek,30.616814540228678
72,24082223.0,AK,29,Lakina ,1. Mill Creek to McCarthy Road Bridge,"['61.4832', '-143.36']","['61.3747', '-143.345']",III-IV,Larkin Creek,28.594900327886464
73,24082223.0,AK,3268,Lakina ,2. McCarthy Road Bridge to Chitina River,"['61.3747', '-143.345']","['61.3242', '-143.566']",III+,Larkin Creek,28.512221258852506
74,23877111.0,AK,5408,Lawson Creek ,Treadwell Ditch to Salt Water,"['58.276226043701', '-134.42468261719']","['58.286437988281', '-134.41142272949']",II(V+),Larson Creek,16.51759559905284
75,5908529.0,AK,3423,Lemon Creek ,Upper Quarry to Costco,"['58.380798339844', '-134.46020507812']","['58.360401153565', '-134.48347473144']",III-IV+,Rockfish Run,0.18408752253479413
76,23877117.0,AK,37,Little Nelchina ,Little Nelchina Br. on Glenn Highway to Tazlina Lake,"['61.987201690674', '-146.94270324707']","['61.942501068115', '-146.43583679199']",II-III,Little Nestucca River,28.486056148143824
77,23017962.0,AK,4417,Little Susitna ,1. Upper,"['61.820911407471', '-149.09484863281']","['61.777584075928', '-149.1965637207']",IV+,Hangman Creek,0.0020017980190725803
