,feature_id,river,run,riverNWM,distance
0,23845135,Alatna ,through Gates of the Arctic National Park,Alta Creek,37.28082970265685
1,24265453,Alsek ,Haines Junction to Dry Bay,All Creek,20.33368581619981
2,23065251,American Creek ,Hammersly Lake to Lake Coville,Pelican Creek,36.74274770793586
3,23876345,Aniakchak ,Surprise Lake to Aniakchak Bay,Minich Creek,36.01987661022576
4,23844931,Archangel Creek ,Fairangel Creek Confluence to the Little Su Confluence,Crane Creek,28.899831065657683
5,23845419,Atigun/Sagavanirktok ,Dalton Hwy Bridge to Slope Mt. Road Camp,Kunamakst Creek,32.43532003481817
6,23074971,Bird Creek ,5 miles upstream to Turnagain Arm,Bird Creek,31.36269543906413
7,23083076,Bremner ,to Copper River,Brender Creek,26.938204327789684
8,23851983,Browns Creek ,Browns Creek Canyon,Browns Creek,26.852029430331395
9,23839578,Brushkana Creek ,Denali Hwy to Nenana River,Brush Creek,28.545978023344002
10,23989293,Campbell Creek ,South Fork Gorge (Prospect Heights to Hilltop Ski Area),Campbell Creek,30.056928379079334
11,23839298,Canyon Creek ,Seward Highwy at outlet of Lower Summit Lake to Seward Hwy a...,Canyon Creek,28.350827846060046
12,24125205,Caribou Creek ,Squaw Creek to Glenn Highway Bridge,Caribou Creek,30.97930509005339
13,23851567,Carlson Creek ,Lower Canyon to Tidewater,Carson Creek,16.0578797160464
14,23886196,Chakachatna ,Chakachamna Lake to Cook Inlet,Yachats River,32.936483418700824
15,23887038,Chakina ,Gravel bar to Chitina River,China Creek,25.412196498031562
16,24001159,Charley ,Upper river gravel bar to Yukon River to Circle,Charley Creek,24.985734078580048
17,23887038,Cheshnina ,Lower Tonsina to Copper River Bridge,China Creek,26.696847050289527
18,23856583,Chetaslina ,Chichokna River to Copper River,Chehalis River,25.512095678530265
19,23806128,Chickaloon ,30 Mile Airstrip to Matanuska,Chicken Creek,30.35619169825867
20,23064943,Chilikadrotna ,Twin Lakes (Lake Clark Nat.Park &amp; Preserve) to points along ...,Chewiliken Creek,36.61428270779265
21,23887038,Chistochina ,Chistochina Glacier to Copper River,China Creek,28.13102509025327
22,23887038,Chitina ,Tana River to Copper River,China Creek,25.323215354027862
23,23058202,Chitistone ,Glacier Creek to Nizina River,Whitestone Creek,26.147042551497524
24,23887038,Chulitna ,East Fork to Talkeetna,China Creek,31.642119000185943
25,23839084,Coal Creek ,Glacier to Matanuska River,Coal Creek,27.136952198292896
26,24001517,Colville ,Thunder Creek to Harrison Bay,Coville Creek,42.16568553884415
27,23745988,Copper (Iliamna) ,Lower or Upper Copper Lake to Lower Pike Lake or Intricate B...,Copper Canyon Creek,34.65251948492194
28,23857195,Copper ,1. Copper Glacier to Gulkana R.,Copper Creek,25.04612641976
29,23857195,Copper ,2. Gulkana R. to Chitina R.,Copper Creek,26.364530747475854
30,23857195,Copper ,3. Chitina R. to Gulf of Alaska,Copper Creek,25.15241388325582
31,23941293,Dadina ,Bush strip to Copper River,Deadline Creek,28.050397308151336
32,24287880,Delta ,1. Denali Hwy at Tangle Lakes to MP 212.5 Richardson Hwy bet...,Delta Creek,27.564356314024028
33,24287880,Delta ,2. Suzy Q Creek to Donnelly Creek Campground,Delta Creek,27.704166871294287
34,23839470,Drop Creek ,Upper gravel bar to Copper River,Dry Creek,24.33378236148799
35,23997756,Eagle (Juneau) ,Lake to Veterans Memorial Highway,Eagle Creek,15.80505859639453
36,23865382,Eagle ,1. Echo Bend to Rapids Camp,Eagle Creek,29.267734243171745
37,23865382,Eagle ,2. Upper,Eagle Creek,29.313488384736562
38,23865382,Eagle ,3. Bridge to Bridge,Eagle Creek,29.563601630022514
39,23865382,Eagle ,4. Lower: Military Stretch,Eagle Creek,29.609293017645637
40,23876379,Firth ,Margaret Lake to Beaufort Sea,Fitch Creek,28.967209650080683
41,23846239,Fish Creek ,Eaglecrest Road to N. Douglas Hwy.,Fisher Creek,14.870737214252662
42,23833113,"Fortymile, Middle Fork and North Fork ",Joseph Airstrip to Taylor Hwy Fortymile Bridge,Middle Fork North Fork Klaskanine River,26.72342004200519
43,24092154,"Fortymile, South Fork ",West Fork of Dennison Fork to Taylor Hwy Fortymile Bridge,Fourmile Slough,29.354129741056674
44,12536568,Fortymile ,Taylor Hwy Fortymile Bridge to Yukon River (Eagle),Fortymile Creek,32.24858682026926
45,23845875,Gakona ,Gakona Glacier to Copper River,Gatton Creek,26.542514852538368
46,23796699,Gilahina ,McCarthy Road (mi. 28) to Chitina River,Willamina Creek,25.927126788517434
47,24423697,Glacier (Sheridan River) ,Sheridan Glacier to Copper River Highway,Rainier Fork American River,27.460890792316015
48,23997594,Gold Creek ,Basin Road Bridge into Cope Park,Gold Creek,15.330443261774901
49,23970369,Granite Creek ,2600-foot level to Glenn Highway,Granite Creek,30.720101194373186
50,23844775,Gravel Creek ,Gravel Creek Glacier to Matanuska River,Graves Creek,28.1759861756533
51,23963707,Gulkana ,1. Summit Lake to Paxson Lake,Sultan River,28.130766930393147
52,23963707,Gulkana ,2. Paxson Lake to Sourdough Campground,Sultan River,28.026445893284382
53,22990539,Happy ,Near Sheep Lake to Skwentna River,Happy Fork,38.81822848030137
54,23720397,Hicks Creek ,Hicks Lake to Matanuska River,Hicks Creek,31.35200791468188
55,23839114,Hulahula ,Grasser's Airstrip to Arey Island (Arctic Ocean),Haehule Creek,29.08697259873218
56,23839556,Jacksina ,Upper river to Nabesna River,Jackson Creek,23.641264512289286
57,23861183,Jarvis Creek ,Trail above McCumber Creek to Trail below Ober Creek,Davis Creek,27.370172432567912
58,23957466,Kenai ,Kenai Lake (Sterling Highway) to Skilak Lake,Kendall Creek,29.96938311849169
59,24521796,Kennicott ,McCarthy Road to Nizina River,Endicott Creek,25.246591387583408
60,23846243,Kern Creek ,600' Elevation to Turnigan Arm,Kerr Creek,28.1515298451605
61,23744512,Kiagna ,Gravel bar to Chitina River,Kiona Creek,24.797178230087543
62,23890216,Kijik ,Lachbuna to Lake Clark,Kirk Creek,34.58371392904232
63,23877027,Killik ,Lakes in upper river to Umiat or Colville River,Killam Creek,37.93202428147798
64,23981979,Kings ,Upper Kings to Glenn Highway,Kings Creek,30.442479005712674
65,23764875,Kisaralik ,Kisaralik Lake to confluence with Kuskokwim River,Kiser Creek,39.2503153818677
66,23744512,Klutina ,Klutina Lake to Richardson Highway Bridge at Copper Center,Kiona Creek,28.123828875163802
67,23845419,Kongakut ,Mountains to Arctic Ocean,Kunamakst Creek,27.861731587168514
68,23981919,Kotsina ,Upper Kotsina to Copper River (including lower canyon gorge),Kapowsin Creek,26.070054726501056
69,22879895,Kuskulana ,1. Nugget Creek to McCarthy Road,Ksanka Creek,31.327353912330253
70,22879895,Kuskulana ,2. McCarthy Rd. Bridge to Chitina River,Ksanka Creek,31.557984237626
71,23839870,Lake Creek ,Chelatna Lake to Yentna River,Lake Creek,30.616814540228674
72,24082223,Lakina ,1. Mill Creek to McCarthy Road Bridge,Larkin Creek,28.59490032788646
73,24082223,Lakina ,2. McCarthy Road Bridge to Chitina River,Larkin Creek,28.512221258852502
74,23877111,Lawson Creek ,Treadwell Ditch to Salt Water,Larson Creek,16.51759559905284
75,23824981,Lemon Creek ,Upper Quarry to Costco,Lemon Creek,20.75982559260744
